Name,Capacity,Address,Ownership,Surface,Size,Game Size,Alternate Game Size,Lights,Permanent Lines,Goals,Notes,latitude,longitude
St. Anselm's Abbey School,,"4501 South Dakota Ave NE, Washington, DC 20017",Private,Grass,115x65,11v11,,No,No,No,,38.9458232,-76.9874768
Stead Rec Center,2,"1625 P Street, NW Washington DC 20036",DPR,Turf,51x47,5v5,,No,Yes,No,,38.910041,-77.0401787
Stoddert ES,3,"4001 Calvert Street NW, Washington DC",DPR,Grass,Retangular,,,No,No,No,Baseball Outfield,38.9232093,-77.0814159
Takoma 1,4,"6315 5th St NW, Washington, DC 20011",DCPS,Grass,Rectangular,,,Yes,No,No,Baseball Outfield,38.9681587,-77.0217249
Takoma 4,2,"3rd St., NW & Sheridan St., NW",DPR,Grass,120x70,11v11,,No,No,No,Yes,38.9661472,-77.0187484
Takoma Mini Pitch,1,,DCPS,Mini PItch,,,,,,,,38.9702917,-77.0190617
Trinidad Rec Center,2,"1310 Childress St NE, Washington, DC 20002",DPR,Turf,120x70,11v11,,Yes,Yes,Yes,,38.9065063,-76.9852858
Trinity,4,"201 Michigan Avenue NE, Washington DC, 20017",Private,Grass,Irregular,,,No,,,,38.9295666,-77.0064339
Tubman MS,3,"3101 13th Street NW, Washington DC",DCPS,Turf,90x40,,,No,Yes,Yes,Not League Regulation Size,38.9290649,-77.0315254
Turkey Thicket Rec Center,1,"1100 Michigan Ave NE, Washington, DC 20017",DPR,Grass,Irregular,,,No,No,No,,38.9380961,-76.9953872
Upshur Rec Center,2,"4300 Arkansas Ave NW, Washington, DC 20011",DPR,Turf,40x25,4v4,,No,Yes,Yes,,38.9442978,-77.0340584
Vier's Mill,2,"11711 Joseph Mill Rd, Silver Spring, MD",MoCo,Grass,Irregular,,,No,No,No,,39.0489544,-77.0875309
Volta,2,"1555 34th St NW, Washington, DC 20007",DPR,Grass,Rectangular,,,No,No,No,,38.9102473,-77.0697353
Walter Pierce Rec Center,3,"2630 Adams Mill Rd NW #208, Washington, DC 20009",DPR,Grass,60x40,7v7,,No,No,No,Large grass area,38.9237955,-77.0476925
Washington Adventist,5,"7600 Flower Ave, Takoma Park, MD 20912",Private,Turf,100x63,11v11,,Yes,Yes,Yes,,38.9868482,-77.0038125
WES Grass,4,"5600 Little Falls Pkwy, Bethesda, Maryland 20815",Private,Grass,95x50,9v9,,No,No,Yes,Goals at School,38.9664882,-77.1040604
WES Turf,4,"5600 Little Falls Pkwy, Bethesda, Maryland 20815",Private,Turf,Small Full,,,No,,,,38.9664882,-77.1040604
Westbrook ES 1,1,"5110 Allan Terrace, Bethesda MD",MoCo,Grass,Irregular,,,No,,,,38.9578193,-77.1053591
Westbrook ES 2,1,"5110 Allan Terrace, Bethesda MD",MoCo,Grass,Irregular,,,No,,,,38.9578193,-77.1053591
Westbrook Gym,1,"5110 Allan Terrace, Bethesda MD",MoCo,Gym,,,,Yes,,,,38.9578193,-77.1053591
Westland MS 3,4,"5511 Massachusetts Ave , Bethesda MD",MoCo,Grass,Rectangular,,,No,,,,38.9604,-77.1116643
Whittier Woods 1,2,"7400 Whittier Blvd, Bethesda, MD 20817",MoCo,Grass,,,,No,,,,38.9821431,-77.1311259
Whittier Woods 2,2,"7400 Whittier Blvd, Bethesda, MD 20817",MoCo,Grass,,,,No,,,,38.9821431,-77.1311259
Wilson Aux Gym,1,"3950 Chesapeake Street NW, Washington, DC 20016",DCPS,,,,,,,,,38.949981,-77.0801493
